response,context_0,speaker_0,context_1,speaker_1,context_2,speaker_2,context_3,speaker_3,context_4,speaker_4,context_5,speaker_5,context_6,speaker_6
I am sad that I peed. I'm sad that I peed in class instead of a toilet.,"Good job. Morty, do you have an ""I"" statement?",Dr. Wong,I am mad that I can't huff enamel without people assuming it's because my family sucks. I hope to be seen one day as someone that just likes getting high.,Summer,"Good. Summer, you go.",Dr. Wong,I am afraid that my kids will get expelled.,Beth,"Huh? Uh, no. No, nope, sorry about that. Nope, just me. Yeesh!",Pickle Rick,"Oh, well, uh, she knows. I mean, we don't really buy into that kind of crap, to the extent that love is an expression of familiarity over time, my access to infinite timelines precludes the necessity of attachment. In fact, I even abandoned one of my infinite daughters in an alternate version of earth that was taken over by mutants.",Pickle Rick,"Well, my daughter is about five away, and I've got about eight to live.",Pickle Rick
A competent one.,What? What kind of monster are you?,Morty,"You have dropped so many balls, man. Do you ever get scared Grampa Rick might make me his new sidekick?",Summer,It's not my fault we froze time on a humid day!,Morty,"Then you've been doing it wrong for six months. Oh, my God, is that mildew?",Summer,"I know how to vacuum Mom and Dad, Summer, I've been doing it for six months!",Morty,"Hurry up Morty, Grampa's about to unfreeze time. You know you really should be cleaning from top to bottom.",Summer,"Yeah, Dad, digging around the inside of horses. It's not a very romantic setting.",Summer
"Oh, come on, maybe a couple of them, but definitely not the train guy.",Is that sarcasm?!  I don't want you slipping away then this is over! All of these deaths are on your hands!,Supernova,Oof! Didn't see that comin'.,Rick,STOP!,Supernova,"ALL ABOOOOOOARD, MOTHERFUCKER!!!",Alan,One million times better!,Million Ants,Yeah?,Alan,"I conceived a child with Million Ants and it died inside me because it as HALF A MILLION ANTS AND HALF COLLAPSING STAR! And yes, he was better than you!",Supernova
"Well, do we- do I uh, get a big rock? Or--",It's still alive.,Beth,This is Rum Raisin!,Jerry,W-what?,Beth,I hit a deer! W-we have to tell the cops you were driving.,Jerry,Holy shit! What happened?,Beth,You realize they sing no matter how much you tip.,Beth,Cold Stone Creamery is the best. What should we do with our remaining twenty dollars?,Jerry
Aah!  Gun turret.,All aboard!,Alan,"Star Mother, grant me your wrath!",Supernova,"Security drones, inbound.",Vance,"Yeah, well, I get the feeling... he kind of needs that to be the case.  Not coming, Noob-Noob?",Vance,"Rick says ""good"" and ""bad"" are artificial constructs.",Morty,"Cop a squat, chief.  Everyone in the universe is a hero. All you have to do is know the difference between good and bad, and root for good.",Vance,I-I-I... I'm not a superhero.,Morty
"I never will, baby.",Please don't leave me again.,Beth,Guess who dismantled the government?,Rick,"Just each other, and I'll never let you go. And I'm so sorry I ever did this to us.",Beth,"Look, I-I'm not proud to share this, but the truth is, I just kept crawling, and it kept working.  Oh, I'm glad you're okay. Are we ever going to stop paying for indulging your father? Our children, our planet, our jobs? Is there anything left to lose?",Jerry,Are you okay?,Beth,The galactic government collapsed.,Jerry,"Jerry, what the hell is happening?!",Beth
Do you know what I want you to do with them?,"Uh, that's flattering... and a little weird.",Morty,You know what I named these? My little Morties.,Jessica,Wow. Th-they're both great. Thank you!,Morty,Can I show these to you?,Jessica,"Whoa! Hi, Jessica.",Morty,"Hi, Morty.",Jessica,"Yeah, you know what?! Aw, too bad! Tough! First row, take one. Pass it back for me. The stakes are high in this room.  There's crucial things happening here every day. People getting smarter. Some of y'all getting dumber. Some of y'all ain't gonna see 3",Mr. Goldenfold
"Beth, it's him or me!","No, you're right. Where's the vodka?",Rick,"Um..okay. No. No, no, no. Foot down time.",Jerry,"Jerry, is there any light beer left? It's insane what you miss in prison.",Rick,I was right. He turned himself in on purpose. It was all part of his plan!,Summer,"I never will, baby.",Rick,Please don't leave me again.,Beth,Guess who dismantled the government?,Rick
Excuse me?,"Well, yeah, on horses.",Jerry,"Okay, I only ask, Jerry, because, as you know, my job involves performing heart surgery.",Beth,"Well, it's lunch. I mean, it's one of three meals that have existed for millennia.",Jerry,"Jerry, please tell me you're here for an incredibly urgent reason.",Beth,"My manager gave me an hour for lunch, and I thought, ""hey, why not swing by where your wife works?""",Jerry,Jerry?,Beth,"Knock, knock.",Jerry
"Well if all of me knocked out all the Ricks, and you peed in all of your pants, doesn't that mean that we're all synchronized?","Holy shit, now what?",All Summers,"Shh shh... I know where you are, you creepy old monster... I know how you think! Oh, is this where you think I'm going? You think I'm standing here? Well maybe you're right!",All Ricks,Jesus...,Vet,"Jerry, if you're not gonna help, get the fuck out of here! I will reach into heaven and yank your screaming deer soul back!",Beth,She normally works on horses.,Jerry,Who's this now?,Vet,"You son of a bitch, you don't stop living until I SAY SO!",Beth
"No, you didn't.",Make it bounce.,Mr. Goldenfold,"All right, Morty, time to make our move.",Rick,"Oh, I think you've had enough, sir.",Mrs. Pancakes,I'll take two.,Mr. Goldenfold,Wheat thins. Wheat thins.,Mrs. Pancakes,"It's about to get a whole lot weirder, Morty.",Rick,"Wow, Rick, I can't believe we're sitting around, standing around in Mr. Goldenfold's house. It's really weird.",Morty
"I understand your feelings, Mrs. Smith.","I don't care about prosthetics, this is insane! What do you people think you're doing?",Beth,"His penis will be replaced with a sophisticated prosthetic, now there's a wide range of options to chose from, they're all in this catalog.",Alien Doctor,"Uh-oh, maybe we have a problem here after all guys. Yikes.",Jerry,WHAT!?!,Beth,"Hi, honey, so, here's the thing-these guys-they want to completely remove my penis and use it as an alien's heart, and we just need you to sign off on it.",Jerry,"But, ah, Mrs. Smith, could you come with me?",Alien Doctor,I wanted to let you all know that Jerry is doing just fine.,Alien Doctor
"""Snuffles"" was my slave name. You shall now call me Snowball, because my fur is pretty and white.",Do not call me that!,Snuffles,"Where are my testicles, Summer? ... Where are my testicles, Summer? They were removed. Where have they gone?",Snuffles,"Holy crap, Morty. He can travel through dreams. He can travel through dreams! We're so screwed!",Rick,Ohhhh!,Morty,"Nothing but fear from here on out, bitch!",Scary Terry,"Oh, geez, Rick. W-w-whoa, this isn't good.",Morty,"Are you kidding me? This again? Oh, man, it looks like we've hit dream bedrock here, Morty.",Rick
"Don't worry about Rick, Big Morty. He's new. He doesn't understand how it works.","M-m-my partner. Morty, you're right. Mortytown is bad, but that doesn't mean that we have to be.",Cop Rick,Morty...,Cop Rick,"Big Morty likes to contribute to keeping the peace in Mortytown.  Think of him as a drug lord, and us his cops on his payroll.",Cop Morty,They had a little accident. They won't be causing any trouble anymore.,Cop Morty,"""The Creepy Morty"". What is it your kind's always saying? ""Don't think about it."" Come on. There's someone important I want you to meet.",Cop Morty,What is the place?,Cop Rick,"No thank you, and bad math.",Cop Rick
"Summer, you're freaking me out. I know things have changed a lot, and I know you miss Rick, but getting him back wouldn't make things better. And, you know, we're not doing so bad.","Grandpa Rick must have some secret lab, right? With, like, laser guns and jets packs and a space tank! And we can go break him out of prison! Look at these dead flies! Maybe if we arrange them in a certain order, it plays a hologram or it opens a secret door.",Summer,Huh? What are you -- What are you doing?,Morty,"Fine, but I'm driving.",Rick,"Oh, that sounds cool. I can get what I want and you can say goodbye.",Cornvelious Daniel,The day I invented the portal gun is the day I lost her.,Rick,"If we stay here, you'll die, along with all your memories. If you take me where I want to go she'll be there, too, won't she?",Cornvelious Daniel,Someone special you remember? Is that your memory of her out there -- between where you were on 9/11 and your favorite sports blooper?,Cornvelious Daniel
"Morty, Morty, stop! Listen! There’s only so much charge left in this thing. If we portal home from here and back, we’re not gonna have enough charge left to get off-world. Get it?","That’s planning for failure, Morty. Even dumber than regular planning.  Balls.",Rick,"Well, can we at least go get our family? You know, so we can take them with-with-with us if we lose?",Morty,"Genius happens in the moment, Morty.",Rick,"Rick, Ice-T, could you guys take it less easy?! We’ve got six hours to come up with a song!",Morty,"Geez, Morty. The guy’s just doing his job. Take it easy.",Rick,Like we’re not already under enough pressure!,Morty,There’s one every season. Moving on to planet Arbolez Meterosos. Arbolian Meterososians. SHOW US WHAT YOU GOT.,Cromulon
"All right, well, do pickles live forever or --",I wouldn't be much of a pickle if I could.,Pickle Rick,"Well, can you move? Can you fly?",Morty,"I don't do magic, Morty, I do science. One takes brains, the other takes dark eye liner.",Pickle Rick,"Are you going to, I mean, you know, is this the first part of some magic trick?",Morty,"Who cares, Morty? Global acts of terrorism happen every day. Uh, here's something that's never happened before",Pickle Rick,Was it?,Morty,"""And""? What more do you want tacked on to this? I turned myself into a pickle, and 9/11 was an inside job?",Pickle Rick
The mega trees?,"You see what we just stumbled upon, Morty? Any idea what that is down there?",Rick,"Ta-ta-ta-ta-ta-ta. Morty, you see this?",Rick,"Yeah, Rick, I get it. We're surrounded by monsters. That's kind of the reason why I want to leave.",Morty,"Are you joking me? I mean, look at all the crazy crap surrounding us. Look at that thing right there.  What the hell is that thing? You think you're gonna see that kind of thing at school?  Look at it just lumbering around.  It defies all logic, that thing.",Rick,"All right, Rick, look how much longer is this gonna be? Shouldn't I be back at school by now?",Morty,"Oh, Morty, take a deep breath. Breathe that breathe that fresh air in, Morty. Y-you smell that? That's the smell of adventure, Morty. That's that's the smell of-of-of-of a whole different evolutionary timeline.",Rick,"I never seen that thing before in my life. I don't even know what the hell it is! We got to get out of here, Morty! It's gonna kill us! We're gonna die! We're gonna die, Morty!",Rick
"Mm, there is no God, Summer. You gotta rip that band-aid off now. You'll thank me later.","Oh my god, my parents are so loud, I want to die.",Summer,Beth!,Jerry,Jerry!,Beth,Damn it!,Jerry,"What, so everyone's supposed to sleep every single night now? You realize that nighttime makes up half of all time?",Rick,Dad?,Beth,What?,Jerry
"Hello? Mrs. Smith? This is Principal Vagina, no relation. I wonder if you and Morty's father might be able to have a chat with me this afternoon?","Ahem, Horse heart surgeon.",Jerry,"Uh, yeah, maybe I am. I'm my father's daughter. I'm smart. Why do you think I'm a heart surgeon?",Beth,"Well, maybe you're right.",Jerry,"Look, I appreciate the stress you're under, but Morty was having trouble in school way before my dad moved in, and the only influence I can see Rick having is that, for the first time in his life, Morty has a friend.",Beth,"Since we're fighting, if you ever have an affair with that guy, I will come to the hotel room and blow my brains out all over your naked bodies.",Jerry,"It's fine, Davin.",Beth,"I told you I was ordering you something for Valentine's Day. More importantly, your father is a horrible influence on our son.",Jerry
